1700112J05Rik,-4.53E+00,-5.27E+00
1700113A16Rik,2.15E+00,2.33E+00
1700113H08Rik,-7.14E+00,-5.18E+00
1700120C14Rik,1.13E+00,1.37E+00
1700120K04Rik,-1.42E+00,-1.88E+00
1700121L16Rik,-4.40E+00,-4.53E+00
1700123I01Rik,4.16E-01,6.82E-01
1700123M08Rik,-2.76E+00,-2.10E+00
1700123O20Rik,5.07E+00,5.14E+00
1700125G22Rik,-5.35E+00,-4.41E+00
1700125H03Rik,-5.12E+00,-5.16E+00
1700125H20Rik,3.27E-01,1.02E+00
1700128F08Rik,1.07E+00,1.29E+00
1810006J02Rik,-3.88E+00,-3.88E+00
1810007I06Rik,-3.87E+00,-3.09E+00
1810009A15Rik,6.14E+00,6.35E+00
1810010D01Rik,-9.89E-01,-5.54E+00
1810010H24Rik,1.25E+00,6.61E-01
1810011H11Rik,-1.17E+00,-1.41E+00
1810011O10Rik,2.19E+00,1.97E+00
1810012K16Rik,-2.16E+00,-2.28E+00
1810013A23Rik_Ppard,4.43E+00,4.54E+00
1810013D10Rik,4.22E+00,4.41E+00
1810013L24Rik,4.37E+00,4.33E+00
1810014B01Rik,-3.19E+00,-3.44E+00
1810018F18Rik,-6.20E+00,-7.35E+00
1810019D21Rik,5.80E-01,6.76E-01
1810019J16Rik,3.54E+00,3.68E+00
1810020O05Rik,-3.64E+00,-3.07E+00
1810021B22Rik,-7.65E-01,-1.42E+00
1810022K09Rik,7.00E+00,7.19E+00
1810024B03Rik,2.47E+00,2.06E+00
1810026B05Rik_Chd2,3.27E+00,3.41E+00
1810026J23Rik,4.24E+00,4.13E+00
1810030O07Rik,3.74E+00,3.80E+00
1810032O08Rik_Snord1a,5.58E-01,4.65E+00
1810033B17Rik,-2.37E+00,-3.10E+00
1810034E14Rik,-3.96E-01,-1.46E+00
1810035I16Rik,-2.32E+00,-1.15E+00
1810037I17Rik,6.03E+00,6.23E+00
1810041L15Rik,-1.82E+00,-1.17E+00
1810043G02Rik,1.95E+00,1.97E+00
1810043H04Rik,3.99E+00,3.90E+00
1810044D09Rik,1.36E+00,1.77E+00
1810053B23Rik,-2.34E+00,-2.99E+00
1810055G02Rik,4.43E+00,4.37E+00
1810058I24Rik,6.17E+00,6.25E+00
1810062G17Rik,1.29E+00,1.57E+00
1810062O18Rik,-4.71E-03,-1.03E-01
1810064F22Rik,-3.57E+00,-3.69E+00
2010001E11Rik,-2.31E+00,-2.29E+00
2010001M06Rik,1.57E+00,1.60E+00
2010002M12Rik,-2.78E+00,-3.28E+00
2010003K11Rik,2.14E+00,-1.88E+00
2010003O02Rik,3.12E+00,3.02E+00
2010005H15Rik,2.08E+00,2.38E+00
2010009K17Rik,-1.98E+00,-2.57E+00
2010010A06Rik,-2.51E+00,-3.52E+00
2010012O05Rik,2.26E+00,2.38E+00
2010012O05Rik,6.61E-01,1.17E+00
2010015L04Rik,1.62E+00,1.86E+00
2010107E04Rik,6.88E+00,6.84E+00
2010107G12Rik,-3.61E+00,-3.34E+00
2010107G23Rik,2.72E-01,6.56E-03
2010109A12Rik,-2.16E+00,-5.26E-01
2010109I03Rik,-2.17E+00,-3.44E+00
2010111I01Rik_Mir24-1,3.62E+00,5.63E+00
2010204K13Rik,6.33E+00,6.36E+00
2010300C02Rik,-1.36E-01,1.45E-01
2010308F09Rik,-2.62E+00,-2.40E+00
2010315B03Rik,8.66E-01,1.06E+00
2010320M18Rik,2.92E+00,2.99E+00
2200002D01Rik,5.79E+00,5.50E+00
2210010C04Rik,-6.28E+00,-7.99E+00
2210013O21Rik,4.20E+00,4.22E+00
2210015D19Rik,2.37E+00,2.40E+00
2210016F16Rik,4.34E+00,4.26E+00
2210016L21Rik,4.03E+00,3.77E+00
2210018M11Rik,2.16E+00,2.14E+00
2210019I11Rik,-5.19E+00,-5.35E+00
2210039B01Rik,-1.30E-01,-3.12E-01
2210404J11Rik,8.15E-01,7.52E-01
2210404O07Rik,4.31E+00,2.93E+00
2210404O09Rik,-4.82E-01,-2.91E-01
2210408F21Rik,-3.62E-01,-9.60E-01
2210408I21Rik,8.08E-02,4.20E-02
2210409E12Rik,-4.43E+00,-4.48E+00
2210416O15Rik_Cuedc1,3.11E+00,3.36E+00
2210417A02Rik,-2.79E+00,-2.34E+00
2210417K05Rik,7.38E-01,1.49E+00
2300009A05Rik,3.33E+00,3.27E+00
2310001H17Rik,-3.09E+00,-3.40E+00
2310001K24Rik,-9.35E-01,-1.46E+00
2310002F09Rik,-6.05E+00,-7.27E+00
2310002J15Rik,-3.78E+00,-5.25E+00
2310003H01Rik,1.57E+00,1.38E+00
2310005A03Rik,-4.57E+00,-7.29E+00
2310005G13Rik,-3.07E+00,-3.29E+00
2310007B03Rik,-3.60E+00,-3.76E+00
2310008H04Rik,9.02E-01,1.22E+00
2310008H09Rik,3.30E+00,3.25E+00
2310008N11Rik,-3.48E+00,-2.56E+00
2310009A05Rik,4.13E+00,4.60E+00
2310009B15Rik,4.18E+00,4.26E+00
2310010J17Rik,1.90E+00,2.19E+00
2310010M20Rik,-3.51E+00,-3.52E+00
2310011J03Rik,4.33E+00,4.38E+00
2310014F07Rik,3.00E+00,3.05E+00
2310014L17Rik,-8.00E-01,-1.18E+00
2310015A10Rik,1.57E+00,1.61E+00
2310015D24Rik,-7.26E+00,-6.86E+00
2310022A10Rik,3.22E+00,3.07E+00
2310022B05Rik,4.45E+00,4.49E+00
2310030G06Rik,6.26E+00,6.37E+00
2310033P09Rik,4.02E+00,4.20E+00
2310034G01Rik,-7.67E-01,-1.33E+00
2310034O05Rik,6.19E-01,6.88E-01
2310035C23Rik,1.87E+00,1.71E+00
2310036O22Rik,7.58E+00,7.67E+00
2310039H08Rik,3.52E+00,3.73E+00
2310039L15Rik,1.19E+00,1.39E+00
2310040G24Rik,-1.64E+00,-9.67E-01
2310042D19Rik,-5.16E+00,-5.56E+00
2310044G17Rik,1.91E+00,1.84E+00
2310045N01Rik,5.49E+00,5.48E+00
2310047M10Rik,3.40E+00,3.38E+00
2310057M21Rik,2.52E+00,2.53E+00
2310061I04Rik,3.93E+00,4.13E+00
2310061J03Rik,1.53E+00,1.75E+00
